Category,Part,Description,Qty,Unit Price (Low),Unit Price (High),Recommended,Store,Link
Motor & Steering,12V Trolling Motor - Newport NV-55,55lb thrust brushless 12V bow-mount trolling motor,1,$170,$170,Yes - best value for starter build,Amazon,https://www.amazon.com/Newport-Vessels-NV-Series-Trolling-Motor/dp/B00VYC2JTI
Motor & Steering,12V Trolling Motor - Minn Kota Endura C2 55,55lb thrust 12V - proven brand alternative,1,$250,$250,Alternative - more reliable brand,Bass Pro Shops,https://www.basspro.com/shop/en/minn-kota-endura-c2-transom-mount-trolling-motors
Motor & Steering,12V ESC Motor Controller - WPHMOTO 48V/36V/24V/12V,Brushless DC motor speed controller,1,$30,$50,Yes,Amazon,https://www.amazon.com/WPHMOTO-Electric-Brushless-Controller-Motorcycle/dp/B0791Z44RT
Motor & Steering,Waterproof 360° Servo - DFRobot 35KG Magnetic Encoder,IP54 360-degree positional servo for steering,1,$49,$50,Yes - best for precise steering,DFRobot,https://www.dfrobot.com/product-2790.html
Motor & Steering,Waterproof 360° Servo - FEETECH FT6335M 35KG,Budget alternative 360-degree waterproof servo,1,$25,$40,Budget alternative,Amazon,https://www.amazon.com/FEETECH-Waterproof-Aluminium-Helicopter-Airplane/dp/B09F2ZXMXW
Motor & Steering,Slip Ring - Taidacent 6-Wire 5A,Through-hole slip ring for continuous rotation wiring,1,$12,$20,Yes,Amazon,https://www.amazon.com/Taidacent-Conductive-Electrical-Rotating-Connector/dp/B07YJMWMC7
Motor & Steering,Bow Mount Bracket - Quick Release,Universal trolling motor bow mount bracket,1,$25,$50,Yes,Bass Pro Shops,https://www.basspro.com/shop/en/bass-pro-shops-trolling-motor-mount-with-quick-release-bracket
Controller,ESP32 Development Board,Main microcontroller - WiFi + BLE + 16 PWM channels,1,$8,$15,Yes,Amazon,https://www.amazon.com/ESP-WROOM-32-Development-Microcontroller-Integrated-Compatible/dp/B08D5ZD528
GPS,u-blox NEO-M9N GPS Module,Standard GPS ~1.5m accuracy - budget option,1,$24,$60,Budget GPS option,SparkFun,https://www.sparkfun.com/products/17285
GPS,u-blox ZED-F9P RTK GPS Module,RTK GPS ~2cm accuracy - rock solid hold,1,$80,$275,Recommended for best hold,SparkFun,https://www.sparkfun.com/products/16481
GPS,BN-880 GPS + Compass Combo,Combined GPS receiver and digital compass module,1,$10,$25,Yes - good starter combo,Amazon,https://www.amazon.com/Geekstory-Compass-Raspberry-Aircraft-Controller/dp/B078Y6323W
IMU / Compass,Adafruit BNO055 IMU,9-DOF absolute orientation sensor - compass heading + tilt,1,$30,$35,Yes,Adafruit,https://www.adafruit.com/product/4646
IMU / Compass,GY-521 MPU6050 IMU,Budget 6-DOF accelerometer + gyroscope alternative,1,$2,$4,Budget alternative (no compass),AliExpress,https://www.aliexpress.com/w/wholesale-mpu6050-gy-521.html
Wind Sensor,Ultrasonic Anemometer - Renke RS485,No moving parts wind speed + direction sensor,1,$90,$90,Recommended - no moving parts,Renkeer,https://www.renkeer.com/product/ultrasonic-anemometer/
Wind Sensor,Mechanical Anemometer + Wind Vane Kit,Cup anemometer + wind vane combo with cables,1,$30,$60,Budget alternative,Amazon,https://www.amazon.com/Weather-Meter-Kit-Anemometer-terminated/dp/B084DBXMPX
Wind Sensor,DFRobot Anemometer SEN0170,Standalone analog anemometer 0-30 m/s,1,$48,$48,Alternative - easy Arduino integration,DFRobot,https://www.dfrobot.com/product-1114.html
Wind Sensor,MAX485 RS485 Transceiver Module,RS485 to TTL converter for ultrasonic anemometer,1,$2,$5,Yes - needed for RS485 wind sensor,Amazon,https://www.amazon.com/HiLetgo-MAX485-Development-Accessories-MAX485CSA/dp/B00NIOLNAG
Fishing Sensors,JSN-SR04T Waterproof Ultrasonic Sensor,Waterproof sonar for depth reading,1,$5,$10,Yes,Amazon,https://www.amazon.com/Waterproof-Ultrasonic-Distance-Measuring-Transducer/dp/B07TKVL1ZR
Fishing Sensors,DS18B20 Waterproof Temperature Sensor,Stainless steel waterproof probe for water temp,1,$2,$10,Yes,Adafruit,https://www.adafruit.com/product/381
Fishing Sensors,4.7K Ohm Resistor,Pull-up resistor for DS18B20 OneWire bus,1,$0.10,$1,Yes - required for temp sensor,Any electronics store,https://www.amazon.com/EDGELEC-Resistor-Tolerance-Multiple-Resistance/dp/B07QJB3LGN
Camera & ML,Raspberry Pi Zero 2W,Companion computer for camera + ML inference,1,$15,$15,Yes,Adafruit,https://www.adafruit.com/product/5291
Camera & ML,RPi Camera Module v3 Wide Angle,120° FOV camera for wave observation,1,$35,$35,Yes,Adafruit,https://www.adafruit.com/product/5658
Camera & ML,Google Coral USB Accelerator,Edge TPU for fast ML inference on RPi,1,$60,$60,Optional - speeds up predictions 10x,Coral.ai,https://coral.ai/products/accelerator
Camera & ML,RPi Camera Cable for Zero,15-pin to 22-pin FFC cable adapter,1,$3,$5,Yes - needed to connect camera to Pi Zero,Adafruit,https://www.adafruit.com/product/3157
Camera & ML,MicroSD Card 32GB,Storage for RPi OS + wave data recording,1,$8,$12,Yes,Amazon,https://www.amazon.com/Samsung-MicroSDHC-Adapter-MB-ME32GA-AM/dp/B06XWN9Q99
Power,12V Deep Cycle Marine Battery,Lead acid - budget power option (already own?),1,$80,$150,Budget - check if you already have one,Bass Pro Shops,https://www.basspro.com/shop/en/12v-deep-cycle-marine-batteries
Power,12V 100Ah LiFePO4 Battery - Generic,Lithium iron phosphate - lighter and longer lasting,1,$200,$400,Mid-range upgrade,Amazon,https://www.amazon.com/LiFePO4-Battery-Lithium-Phosphate-Trolling/dp/B0CTFBS1B4
Power,12V 100Ah LiFePO4 - Dakota Lithium,Premium marine lithium with 11-year warranty,1,$649,$649,Premium option,Dakota Lithium,https://dakotalithium.com/product/dakota-lithium-12v-100ah-deep-cycle-lifepo4-battery/
Power,Buck Converter 12V to 5V 3A,Step-down voltage regulator - powers ESP32 and sensors from motor battery,1,$5,$12,Yes,Amazon,https://www.amazon.com/Converter-DROK-5-3V-3-5A-Regulator-Transformer/dp/B00C4QL2GM
Power,Buck Converter 12V to 5V - Waterproof,Waterproof encased version for marine use,1,$8,$15,Better for boat use,Amazon,https://www.amazon.com/Waterproof-Converter-Regulator-Transformer-Motorcycle/dp/B07XXFYD44
Safety & Wiring,100A MAXI Inline Fuse Holder + Fuse,Main power protection - 8 AWG leads,1,$8,$15,Yes - CRITICAL safety item,Amazon,https://www.amazon.com/AUTUT-Automotive-MAXI-Fuse-Holder/dp/B08672NXTY
Safety & Wiring,8 AWG Tinned Marine Wire - Red (10ft),Positive power wire - tinned copper for corrosion resistance,1,$12,$20,Yes,Amazon,https://www.amazon.com/Ancor-Marine-Grade-Primary-Wire/dp/B000NIN2LC
Safety & Wiring,8 AWG Tinned Marine Wire - Black (10ft),Negative/ground wire,1,$12,$20,Yes,Amazon,https://www.amazon.com/Ancor-Marine-Grade-Primary-Wire/dp/B000NIN2LC
Safety & Wiring,Marine Heat Shrink Connector Kit,Waterproof crimp connectors with adhesive-lined heat shrink,1,$12,$20,Yes,Amazon,https://www.amazon.com/Kuject-Waterproof-Connectors-Electrical-Automotive/dp/B073RMRCC3
Safety & Wiring,Emergency Kill Switch - RF Remote,Wireless remote kill switch 100m+ range,1,$12,$20,Yes - CRITICAL safety item,Amazon,https://www.amazon.com/wireless-remote-kill-switch/s?k=wireless+remote+kill+switch
